publish_date,headline_text
2007-01-17,adelaide lens factory to shut down
2007-01-17,ama accuses nt health dept of bullying
2007-01-17,anti rodeo campaigners post videos online
2007-01-17,aquasol to donate more water to port augusta
2007-01-17,arthurs powers on at open
2007-01-17,art on environmental governance
2007-01-17,ashes casualty axed jones goes back to grade
2007-01-17,asian demand drives wa iron sector growth
2007-01-17,aussie lawyers to monitor hickss trial
2007-01-18,4 to face trial over rutherford shooting murder
2007-01-18,abalone virus moves east
2007-01-18,accc urged to get tougher on oil companies
2007-01-18,ac milan make move for ronaldo
2007-01-18,act rental vacancy rates at all time low
2007-01-18,aid package announced for riverina irrigators
2007-01-18,air force engineer charged over explosives
2007-01-18,allenby takes charge in california
2007-01-18,athens university protests turn violent
2007-01-18,attack targeting aussie firm kills four
2007-01-19,10000 flee tamil tiger stronghold
2007-01-19,4 civilians shot dead in sri lanka
2007-01-19,accc allows higher fees at medical service
2007-01-19,accused drug smuggler granted bail
2007-01-19,acf supports pollution penalty scheme
2007-01-19,actew considers allowing recycled water for pools
2007-01-19,action group says irrigators compo package
2007-01-19,adelaide petrol prices predicted to fall
2007-01-19,afp investigates sheikh dvd
2007-01-19,alleged voyeur arrested at open
2007-01-20,3500 motorola jobs to go as profit slumps
2007-01-20,accused racist voted off uk reality show
2007-01-20,act rental rates keeping professionals away
2007-01-20,allenby tied for third in desert pro am
2007-01-20,australians not complacent gilchrist
2007-01-20,aust un to sign security agreement with e timor
2007-01-20,authorities investigate melbourne workplace death
2007-01-20,authorities reopen overland track despite bushfire
2007-01-20,authorities step up probe into legionnaires
2007-01-20,authorities tracking disease source
2007-01-21,12yo charged over crime spree
2007-01-21,62nd indonesian dies of bird flu
2007-01-21,aussies falter early in run chase
2007-01-21,aussies on top at scg
2007-01-21,authorities allow tourists back into thredbo
2007-01-21,authorities monitor cradle mountain fire
2007-01-21,beachgoers warned of rough conditions
2007-01-21,bindi gives speech to us media
2007-01-21,boro desperate to keep red hot viduka
2007-01-21,british police identify litvinenko killer friend
2007-01-22,185b added to future fund
2007-01-22,1m to help nsw farmers offload stock
2007-01-22,7 in hospital after woomargama head on crash
2007-01-22,aboriginal corporations workers to meet over
2007-01-22,across the board gains boost market
2007-01-22,act defies national housing slump
2007-01-22,aftershocks rattle indonesia after major quake
2007-01-22,airline successful in bid for contract extension
2007-01-22,alp calls for water summit
2007-01-22,anti hoon laws working cameron
2007-01-23,100 die in iraq bomb attacks
2007-01-23,11 cane smut cases found in mackay area
2007-01-23,2007 australia day address
2007-01-23,abalone diver survives shark attack
2007-01-23,academic to run government funded muslim think tank
2007-01-23,accc urged to investigate diesel prices
2007-01-23,a great capital must be a great city
2007-01-23,a g rejects calls for more wa judges
2007-01-23,aids group launches legal action over viagra
2007-01-23,apex club gets park funds
2007-01-24,accc stays out of nt petrol price debate
2007-01-24,accc to fight telstra high court challenge
2007-01-24,accused child killer granted bail
2007-01-24,adf denies aiming guns at civilians in brisbane
2007-01-24,aged care home accused of not feeding residents
2007-01-24,agl allowed to buy stake in gas company
2007-01-24,arnold names socceroos squad for denmark friendly
2007-01-24,artists find inspiration from wild weather
2007-01-24,aust joins international outcry over us corn
2007-01-24,australians charged with credit card fraud in
2007-01-25,30 rebels killed in iraqi us assault
2007-01-25,88m to go to walking canoe trails
2007-01-25,academics leave newcastle for wollongong to pursue
2007-01-25,accountant receives 10 yr sentence for 2m theft
2007-01-25,acf nff welcome water plan
2007-01-25,act nsw battle over googong dam
2007-01-25,alice could see community bank by june
2007-01-25,al qaeda deputy warns us of reprisal if policies
2007-01-25,another big day for aust markets
2007-01-25,apn in private equity buyout talks
2007-01-26,30 die in iraq bomb attacks
2007-01-26,3 dead in wa road crashes
2007-01-26,7 to face drug charges
2007-01-26,aborigines protest against racist australia day
2007-01-26,ac on brink of ronaldo deal
2007-01-26,aero club relieved pilot survives crash
2007-01-26,agforce backs federal govt water plan
2007-01-26,ahern gets qlds highest aust day honour
2007-01-26,area of brain linked to cigarette cravings
2007-01-26,astle quits international scene
2007-01-27,11 girls die in indian school collapse
2007-01-27,2 killed in gaza university battle
2007-01-27,abbott says rudd uses religion politically
2007-01-27,abbott speech shows govt fears rudds rise
2007-01-27,abott accuses rudd of using religion for politics
2007-01-27,abott says rudd using religion politically
2007-01-27,agriculture push north risky warns scientist
2007-01-27,aust and un sign east timor agreement
2007-01-27,australia day revellers spark bushfires
2007-01-27,australia un sign east timor security pact
2007-01-28,23 dead in palestinian unrest
2007-01-28,african union leaders in talks to end wars
2007-01-28,airport terminal reopens after evacuation
2007-01-28,arnold watches on as united draw with victory
2007-01-28,aussie buckle keeps tiger at bay
2007-01-28,australia bat steady in perth
