Interval,Top Keyword,Count,sentiment
2008Q1,Pro,14,neutral
2008Q1,Iraq,14,neutral
2008Q1,South,13,neutral
2008Q1,Pakistan,12,neutral
2008Q1,China,10,neutral
2008Q1,New,10,neutral
2008Q1,Carolina,10,neutral
2008Q1,Iowa,9,neutral
2008Q1,Clinton,9,neutral
2008Q1,Led,9,neutral
2008Q1,Baghdad,8,neutral
2008Q1,Show,8,neutral
2008Q1,the,8,neutral
2008Q1,Microsoft,8,neutral
2008Q1,Florida,7,neutral
2008Q1,Texas,7,neutral
2008Q1,Yahoo,7,neutral
2008Q1,Kosovo,7,neutral
2008Q1,Ohio,7,neutral
2008Q1,Nevada,6,neutral
2008Q1,Bill,6,neutral
2008Q1,The,6,neutral
2008Q1,Wall,6,neutral
2008Q1,Street,6,neutral
2008Q1,Ball,6,neutral
2008Q1,Army,6,neutral
2008Q1,Putin,6,neutral
2008Q1,Russia,6,neutral
2008Q1,Iraqi,6,neutral
2008Q1,Caucus,5,neutral
2008Q1,Crane,5,neutral
2008Q1,Col,5,neutral
2008Q1,North,4,neutral
2008Q1,Live,4,neutral
2008Q1,Economy,4,neutral
2008Q1,War,4,neutral
2008Q1,Evangelical,4,neutral
2008Q1,Vegas,4,neutral
2008Q1,York,4,neutral
2008Q1,Shi,4,neutral
2008Q1,David,4,neutral
2008Q1,Paterson,4,neutral
2008Q1,Time,4,neutral
2008Q1,Next,3,neutral
2008Q1,Palestinians,3,neutral
2008Q1,Iran,3,neutral
2008Q1,Sur,3,neutral
2008Q1,Peace,3,positive
2008Q1,Stock,3,neutral
2008Q1,Gaza,3,neutral
2008Q2,Zimbabwe,23,neutral
2008Q2,Myanmar,16,neutral
2008Q2,New,12,neutral
2008Q2,Pakistan,12,neutral
2008Q2,York,11,neutral
2008Q2,Show,10,neutral
2008Q2,China,9,neutral
2008Q2,Day,8,neutral
2008Q2,Pentagon,8,neutral
2008Q2,Iran,8,neutral
2008Q2,Clinton,7,neutral
2008Q2,Obama,7,neutral
2008Q2,Off,7,neutral
2008Q2,Microsoft,6,neutral
2008Q2,Yahoo,6,neutral
2008Q2,White,6,neutral
2008Q2,Iraqi,6,neutral
2008Q2,Opposition,6,neutral
2008Q2,Iraq,6,neutral
2008Q2,House,5,neutral
2008Q2,North,5,neutral
2008Q2,California,5,neutral
2008Q2,Speech,5,neutral
2008Q2,Flood,5,negative
2008Q2,Stock,4,neutral
2008Q2,Election,4,neutral
2008Q2,Live,4,neutral
2008Q2,Africa,4,neutral
2008Q2,Army,4,neutral
2008Q2,Baghdad,4,neutral
2008Q2,Florida,4,neutral
2008Q2,The,4,neutral
2008Q2,Gun,4,neutral
2008Q2,Sex,4,neutral
2008Q2,Tiger,4,neutral
2008Q2,and,4,neutral
2008Q2,Taliban,4,neutral
2008Q2,Russ,4,neutral
2008Q2,Air,3,neutral
2008Q2,Mother,3,neutral
2008Q2,Afghan,3,neutral
2008Q2,Foreign,3,neutral
2008Q2,Policy,3,neutral
2008Q2,Church,3,positive
2008Q2,Texas,3,neutral
2008Q2,Saint,3,neutral
2008Q2,Pope,3,neutral
2008Q2,Mayor,3,neutral
2008Q2,Google,3,neutral
2008Q2,John,3,neutral
2008Q3,Russia,22,neutral
2008Q3,Pakistan,13,neutral
2008Q3,Georgia,13,neutral
2008Q3,New,12,neutral
2008Q3,Iraq,11,neutral
2008Q3,Beijing,10,neutral
2008Q3,China,9,neutral
2008Q3,Wall,9,neutral
2008Q3,Street,9,neutral
2008Q3,Led,9,neutral
2008Q3,Hurricane,8,neutral
2008Q3,Time,7,neutral
2008Q3,Iran,7,neutral
2008Q3,The,7,neutral
2008Q3,Fan,6,neutral
2008Q3,Taliban,6,neutral
2008Q3,Obama,5,neutral
2008Q3,Baghdad,5,neutral
2008Q3,Alaska,5,neutral
2008Q3,Orleans,5,neutral
2008Q3,Storm,5,neutral
2008Q3,Bai,5,neutral
2008Q3,Con,4,neutral
2008Q3,Colombia,4,neutral
2008Q3,Suicide,4,negative
2008Q3,Washington,4,neutral
2008Q3,All,4,neutral
2008Q3,Freddie,4,neutral
2008Q3,White,4,neutral
2008Q3,House,4,neutral
2008Q3,York,4,neutral
2008Q3,Clinton,4,neutral
2008Q3,Stock,4,neutral
2008Q3,Show,4,neutral
2008Q3,Earth,4,neutral
2008Q3,Denver,4,neutral
2008Q3,Economy,4,neutral
2008Q3,Foreign,4,neutral
2008Q3,Policy,4,neutral
2008Q3,Speech,4,neutral
2008Q3,Military,3,neutral
2008Q3,Caucus,3,neutral
2008Q3,Google,3,neutral
2008Q3,Day,3,neutral
2008Q3,Baseball,3,neutral
2008Q3,Post,3,neutral
2008Q3,Zimbabwe,3,neutral
2008Q3,Test,3,neutral
2008Q3,Side,3,neutral
2008Q3,Paris,3,positive
2008Q4,Stock,10,neutral
2008Q4,Show,10,neutral
2008Q4,New,10,neutral
2008Q4,China,10,neutral
2008Q4,Mumbai,9,neutral
2008Q4,Coal,9,neutral
2008Q4,Europe,7,neutral
2008Q4,Time,7,neutral
2008Q4,Pakistan,7,neutral
2008Q4,The,7,neutral
2008Q4,Mother,7,neutral
2008Q4,Sur,6,neutral
2008Q4,One,6,neutral
2008Q4,Bai,6,neutral
2008Q4,Street,6,neutral
2008Q4,the,6,neutral
2008Q4,City,5,neutral
2008Q4,Chrysler,5,neutral
2008Q4,Day,5,neutral
2008Q4,Japan,5,neutral
2008Q4,York,5,neutral
2008Q4,Bank,5,neutral
2008Q4,American,5,neutral
2008Q4,Pro,5,neutral
2008Q4,Ohio,5,neutral
2008Q4,Credit,5,neutral
2008Q4,World,5,neutral
2008Q4,Iraq,5,neutral
2008Q4,Russia,5,neutral
2008Q4,Green,5,neutral
